词语 单音节词比例 双音节词比例 三音节词比例 四音节词比例 词汇密度 平均句长 平均小句长 句子破碎度 句子离散度 修饰词与动词比 成语比例 歇后语占比 甲级词比例 乙级词比例 丙级词比例 丁级词比例 合偶词比例 嵌偶词比例 古语功能词比例
庾 0.5757217240478334 0.16458590609818435 0.015732845995409056 0.0023762636095875284 0.6126209396792592 69.8252156906445 54.10502999804762 3.008508636122089 12.940082622839359 0.553601502322949 0.0004176801801801802 0.002450806708446238 0.31540827454765163 0.21123035539725124 0.1408427422351659 0.1041498369806095 0.0074787265652067215 0.08818862953075718 0.02924336343766803
祗 0.5885719346627059 0.16462297887777919 0.013859406761676964 0.0031377295783014806 0.6226956448231107 61.27604198729251 46.30059284047782 2.9803299929733114 13.069256232532924 0.5169266892518029 0.0006943655890368058 0.002380794452091603 0.32205708524917415 0.209107411638449 0.12623336566708115 0.1103582784460959 0.006529090430704223 0.09104939471274706 0.02335374581516404
殁 0.5652195575700334 0.18502830257659564 0.017094468115993616 0.003633659736361327 0.6295899297808154 22.944997965338256 7.203028671537554 3.163780538762881 12.911080436689083 0.5049528899062782 0.0015208502867460991 0.002004106977797365 0.2975475011405652 0.20067687144696703 0.1303775083204758 0.11067370019302622 0.005792784561300593 0.09076334353831267 0.027160760827612998
胤 0.5716035795035007 0.1831159023644448 0.02043738668854708 0.002617577194007712 0.6162394721002208 19.982676943403117 7.42567939406693 2.7070355584548262 11.019213759556008 0.49958583271070817 0.0003986406619385343 0.0014688874434573328 0.2719866572207873 0.18089963716251373 0.1360113770358765 0.10301868121970328 0.00319931723630461 0.07801507984916892 0.020148020360778562
绰 0.550637637460773 0.1898260734008911 0.015416213358167103 0.0035155470207132084 0.6432415524865952 33.45803618709155 17.167291912412782 3.057771947216205 15.184523732137718 0.5219036645675246 0.0007868109704114945 0.0019704585724380436 0.29528558279771394 0.19972232057805026 0.12308887576030035 0.10779315582629705 0.006072738510779761 0.08505482831083809 0.017606765590213208
丕 0.5753279142343407 0.1758244880802496 0.012944432571106581 0.003032797406678211 0.6144236264341433 19.859496643055465 7.304752480245831 2.7290933435128384 11.037694424988274 0.5260473468214661 0.001127472734820182 0.002033394658292475 0.2937000773015152 0.1959865722254423 0.1276798380907801 0.12022717961222533 0.004893210028372275 0.0897611548759692 0.026229308430883128
旌 0.585971748944475 0.16414650245883178 0.01346673109768168 0.002431426698545766 0.6171476624194038 23.082640602814223 7.142332890876524 3.255018446751584 12.595139396724212 0.5046938633645032 0.0006494753939711771 0.0020171173547072156 0.2989752730062054 0.20699402170525208 0.1294746964841045 0.11159098196854346 0.004765669720480797 0.09470352577251624 0.021950063151405085
佞 0.5898922448039551 0.17093282100236426 0.010335973395850009 0.002017429232853978 0.6062401685591481 29.406820294473487 9.906456549921675 3.1520457866990887 16.421094065998105 0.5950338839763787 0.000963797573683469 0.002934420315220065 0.3222037580205832 0.20143559959965424 0.1434141189529295 0.11855653176152167 0.005285692855912688 0.09758843585044855 0.03395345472663867
轸 0.5996587201816691 0.14043829750998607 0.009572456405719474 0.0010793008756724938 0.583506464512182 20.288534509752843 7.135460578715473 2.8906192140752864 11.867887003278641 0.6218148903754563 0.00025258295625942684 0.0018625 0.33402773531166113 0.21313112971576376 0.13022758961551772 0.11708863790954602 0.00459549457684606 0.0896348711457897 0.030887476421739703
翊 0.5643514735180141 0.1763799009524151 0.019210450030686787 0.003304640876030994 0.6293921479788602 33.76804493528872 10.347524896620536 2.959524961425794 12.353451029572227 0.4728250172282854 0.0004010869565217392 0.002206495912458554 0.28730605092863604 0.19894484386057176 0.12411609331662608 0.11434379500619513 0.005635816440881063 0.09284530130899266 0.019274481218093855
麾 0.5854466997673575 0.1578539484570497 0.014145088252073836 0.0029369142170489874 0.6235710230224063 21.75425060503533 7.011543830730542 3.1281713491748984 11.77112889169801 0.49086188671940834 0.0005405520995334371 0.001399989011939901 0.3076243957219073 0.21084293388612937 0.13001925449427534 0.11014199741636814 0.004420433043104988 0.08941634930081976 0.0245544491621456
渎 0.5600950847219289 0.17529383973958887 0.01416591497236732 0.0030261560806023858 0.6258001447816931 23.877505844190456 7.337440067636749 3.217917500504334 14.862016561433192 0.5735365808108445 0.00047220871218133317 0.002284945766906894 0.3087446975898922 0.19864959043244457 0.12372973040879981 0.09810578659366369 0.006022019909732839 0.08807222862668768 0.024405522762504527
惇 0.5403556892576001 0.20635453705930284 0.013362621631749646 0.002816469141145302 0.6338753215690994 21.06769938370495 7.5565002502188126 2.80223067987726 12.48835555658912 0.4220579370036998 0.0011125000000000002 0.0020195153360851037 0.2883854651274488 0.19342165177744822 0.11482389237174084 0.11075844417555664 0.005274653368866571 0.09055700950685995 0.02109729633148016
恪 0.5486771289471445 0.19862991775978753 0.01485056642310063 0.0031798730664339705 0.6264017354692089 21.355467403675583 7.420028338203272 2.8974104313193867 12.486031454964525 0.47894888009938164 0.0008998053640692169 0.0021022107104965017 0.28905369703879447 0.19008638817287063 0.12349718940924653 0.10838439342679877 0.006743265078364448 0.08303675260433277 0.020947622439358077
釐 0.5815729013385251 0.13543595338393027 0.013601695470022584 0.0020711512729613916 0.6475240204127038 24.903164878573968 9.275148178329284 2.785285585216877 15.491963664767209 0.5473224675400294 0.0003566207982683585 0.0012743935618931652 0.32750157851274464 0.1838142866181176 0.13602200509350768 0.10391005440274219 0.0039009954756634786 0.103023162810639 0.018873372619869325
贰 0.5801985314648405 0.17828981756671541 0.01421524409246965 0.0025314027084551455 0.6344737284483445 52.15914341006276 37.615821380052665 2.9972798740326163 12.236470587664934 0.5499849770612935 0.0006582060361697927 0.0018724885554208379 0.3204807347719676 0.21119066709105597 0.13216699042395588 0.11504149253272493 0.006432279406383931 0.09605295807477882 0.02735961123109282
檄 0.5654651189203799 0.18305607822340245 0.017404952018546617 0.003648251275380229 0.6340874432615956 23.341740168894965 7.32316664958286 3.1789800831138626 13.554508958098154 0.46412675245196533 0.0008940450605367936 0.0020461931850929457 0.2857287924583529 0.20403733268238233 0.12390308747523768 0.12155531600407439 0.005442978145399829 0.09704590748765751 0.021130976833297267
遐 0.5989060774146955 0.16503992008987353 0.012785289666201294 0.0026892856795523857 0.6173922104433462 22.871641375912333 7.033137681349216 3.2444448562787738 13.377189637778834 0.5682731037141663 0.000845583408416508 0.0022939604124100096 0.29732241648903895 0.20920694298481146 0.138742612415791 0.1200056905407361 0.004852021168575345 0.10152878550035357 0.025182620964861936
宥 0.5757771627801224 0.18131793755741898 0.01624762866302156 0.003448859094169937 0.6227020749989312 23.956594967223033 7.373056066034743 3.244421819943436 13.503634624010111 0.5483241865824603 0.001035502216142193 0.00212276758868516 0.3052030225557765 0.20072629113982166 0.12944769233985837 0.11341686454262186 0.007141369811009682 0.09590962591277892 0.02329869382006067
赉 0.5656233817044446 0.18164056891057537 0.01985207866827227 0.004039233107987044 0.644872616478775 21.090307629736785 7.7873336790937655 2.761204735378908 12.498443400230038 0.44158336125566033 0.000275 0.0009655117270788913 0.28246046056713564 0.201043993238051 0.11675521541744387 0.10970463789617542 0.005594018132767128 0.08779880953503189 0.017558326651396505
揆 0.5849966494083199 0.17031120352581589 0.01530302607842546 0.0033829480800899843 0.6183813341674975 32.88498883279254 17.084794803541094 3.176918959277279 12.517197253756176 0.5259999429788436 0.0011076862613611615 0.0021358024237309666 0.309177744242329 0.20084350752892735 0.1323916953352041 0.11387495765182529 0.005194293303173448 0.09790645384605362 0.02857659592627612
欤 0.6090962925402768 0.16082836520488747 0.011370647016023179 0.0025483550339878373 0.5979205558703216 48.99997032833378 34.873512415520224 3.0108285194668953 12.009510585562571 0.6660457993341123 0.0007232183082189143 0.00306268350447972 0.3342014948951866 0.21172814584297076 0.15331520730902792 0.11557719552785423 0.00587993448887426 0.09837520965660167 0.04425442325480106
圜 0.5846149519352882 0.15989149095285624 0.01587940865295709 0.002022128034775347 0.611157106119637 21.979720021652643 7.214629665830188 3.093102645590972 12.51167257437198 0.5798144917575773 0.0004082955790183577 0.0019428997015461511 0.31170693848637876 0.20465134236400886 0.1290038017285586 0.10611196283101323 0.005426984287373748 0.08948414231917166 0.026413841194153787
沮 0.5883368866486729 0.1663199905706564 0.011675664571252777 0.0024639939874832343 0.6145118892285781 22.627692937306115 7.2455597908455855 3.1097335705097375 12.509658961047348 0.5204449642898074 0.0008374481987609456 0.0017943734847852611 0.3086010582753231 0.21000090383456851 0.13438082040229232 0.1191141659631985 0.0047780025061478935 0.10014145928740589 0.029862653389630393
举兵 0.5685968703647716 0.1824772126038533 0.01684260857085098 0.0027873273953230027 0.6307006467336107 22.18172457721315 7.235005912792226 3.0767791911817657 12.364310893964154 0.542650293527914 0.0008168935275391708 0.0019422385501098947 0.2949703846425727 0.20139432588116335 0.13193302495704326 0.11743780574658427 0.004310192328616419 0.09382008486607486 0.025902235695026653
袤 0.4966925373278237 0.18022415534462202 0.02623843891275159 0.00903820427821319 0.6532024390049465 17.86034629739539 7.631218288507011 2.3733630931980128 12.60260557184991 0.4990365550945232 0.00020552721088435376 0.000928639909788552 0.2843239311604699 0.18652182204400614 0.09629231478133579 0.08570179151585754 0.002569646471829535 0.07514321913040152 0.011976096737355335
蠲 0.5787887442475522 0.17223792357665474 0.018226294726534066 0.003214120377181379 0.6211580040181635 19.447933829372058 7.376821356910207 2.7169433485391634 11.505563382564302 0.48558626101758035 0.0003856550560082022 0.0015214014028726442 0.2795295893071407 0.19545131296732626 0.13318172109584045 0.11333455260114761 0.0038435942057114176 0.09348595785758183 0.02019829052314093
赂 0.5808387386953577 0.17346932151586344 0.015409185716560182 0.0017078921412562724 0.6151582205662633 23.04054669477054 7.18272438468254 3.2088652208235526 13.209091926140431 0.5323144293136982 0.0004965674107408559 0.0021437409121953487 0.3057337137378918 0.20269704518066473 0.13587136732004182 0.12229890400079427 0.00506959658076392 0.09927957139152305 0.03128273295998172
用事 0.6024515429827094 0.16036407830945992 0.012059743988399043 0.0020823957309478963 0.6266010733407067 54.9906675243016 38.57707238052983 2.959372703826338 13.905653188614929 0.5524319902794427 0.00048498303276537784 0.0018577504819427668 0.3306930620685021 0.210772368302012 0.13567432010175431 0.1219242799576455 0.00342927874626833 0.10598356284351444 0.028584896246444207
掾 0.5830178629353635 0.17003190012331776 0.010656220422177873 0.0020239379932807987 0.6205661190172435 21.714220280776562 7.006550831566893 3.098952216805576 12.491507272083668 0.49733237767543265 0.0006753479001674601 0.002086079245638231 0.31363896631964244 0.2052281869187228 0.12877132836052804 0.11929341896632417 0.0055867427062077524 0.09631904003542523 0.02189079960188598
矜 0.5907054606865544 0.1676695607638438 0.011683034622058662 0.0026899992333935694 0.5964854968791823 42.93241587954832 27.023521398771205 3.150968580746315 13.94309863865328 0.6526357346839619 0.0011928859127806068 0.002889377585436267 0.3365996064766172 0.2064981251937773 0.1456682766295122 0.11254478371936927 0.006805056999578011 0.09719682549613423 0.035954732371720116
彪 0.5325164081214674 0.19200565813444792 0.014939391131979295 0.0034461624704970146 0.6122351715901722 27.075964686436237 8.679595134590883 2.8898577994658283 15.740142982070283 0.5701473476097484 0.0010183490376260615 0.0021807558173448515 0.29858259133252735 0.19892790253362286 0.12814587710167594 0.10639065207334936 0.010847569800441846 0.0878034186137628 0.025268165365098415
帑 0.5486127116629069 0.19296197948699242 0.02074716795714288 0.0032340942475795826 0.6296653221247777 22.19208648735662 7.905873440602794 2.8519412682186998 13.048296531742189 0.41212636034233663 0.0008422882798638086 0.000852776785610935 0.27105635575413056 0.19735632419924026 0.12564665575493938 0.11119630242109996 0.008211271828742976 0.09054968864920729 0.01709892051920778
徇 0.5870418240096028 0.16464038418920418 0.015707172040238113 0.0027633266980031795 0.6172929859045129 21.9287362539668 7.257609110538058 3.068301213622882 12.075763559484942 0.5172891661701878 0.0005834950330922535 0.0016541314495724987 0.29991567344920045 0.2070360293362792 0.13658073470312782 0.12049397222519113 0.004018429280980552 0.09801489608057412 0.0262424499467015
偃 0.5836746952612196 0.16399583705777604 0.012386868782153218 0.002540033334245564 0.6123491578470336 22.010095931375314 7.217816413041046 3.0103750980202593 12.965912405094963 0.5536457962545633 0.0008574503311258278 0.0026509467442016347 0.32494539058521327 0.20261668065625507 0.13194465253077278 0.11702607874717524 0.005552945957421329 0.09147600738110767 0.026300190425219208
弑 0.5977668797553368 0.15287481126624428 0.01203603441912831 0.001560395385954597 0.6026441154505676 19.849003302167585 6.811030603553973 2.9044861980692986 10.604593223512715 0.6317600755012218 0.0004904638951798852 0.0015102665709605585 0.32353440510418013 0.18976011270337023 0.14189379289688298 0.11795807440678549 0.002967671247225426 0.0874843589410367 0.030131288443933854
曜 0.5902506880654311 0.16606595304623514 0.01482053017360893 0.0024864497834549194 0.619926107645715 22.69303737820649 7.150835520095617 3.186474316004817 12.672004455568501 0.5472942372529853 0.0005256212938980606 0.0016289703892739418 0.3107253467570222 0.20451973975306104 0.13537316442843075 0.11084508179360936 0.006119384125921571 0.09490778017788537 0.025416029112389923
谤 0.5941494350707539 0.17224329481517967 0.011033718659097046 0.002499304272854465 0.6081979257093253 24.731375104614504 7.3485821427772535 3.386162785194992 13.905537552000679 0.6110211920048026 0.0009884254872783058 0.0024517238457742773 0.33042480919701833 0.20798912172171247 0.1427511165164382 0.11984284515120525 0.005257752244819573 0.10089701043119813 0.03177820506945364
